Results of running Java Ranger on various benchmarks on heathrow. heathrow is a machine that has 192 GB RAM and a Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz processor. Each run was limited to using up to 8 GB of memory using the -Xmx option to java.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Solver Statistics,,,,Region statistics,,,,,,,,Instantiation metrics,,,,,,Static Analysis results,,,,,Metrics for exceptions,,
"Benchmark 
name","# sym
inputs","veritesting 
mode","total 
runtime (msec)","static
analysis
time (msec)","total 
runtime 
spent in
VeritestingListener 
(msec)","# execution
paths","# queries
to solver","total
solver
time (msec)","solver
parsing
time (msec)","solver
cleanup
time (msec)","# distinct
regions that
were instaniated
and successfully
used","# distinct
regions with
conc. cond.","# distinct
regions 
with sym. cond.
that we
failed to
instantiate","# distinct 
failed
regions for
fields","# distinct 
failed
regions for
SPF cases","# distinct
failed 
regions for 
other reasons","# higher
order 
regions
used","# distinct
regions
that were
encountered","# successful
region
instantiations","# total
failed
instantiations","# concrete
condition
instantiations","# aborted
instantiations
due to
field 
references","# aborted
instantiations
due to
SPF case
instructions","# aborted
instantiations
due to
other
reasons","# interesting
regions
summarized","# interesting 
methods 
summarized","max branch
depth for
interesting
regions","max execution
path count
for 
interesting
regions","avg. execution
path count
for
interesting
regions","# total exceptions
thrown during
static analysis
only","# total exceptions
thrown during
instantiation
only","# total exceptions
potentially thrown
during unknown 
phase (could
be either of the
two phases)"
WBS,3,1,263,0,263,24,46,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
WBS,3,2,1578,1009,569,1,0,0,0,0,6,0,15,0,0,0,0,21,6,0,15,0,0,0,51,0,5,6,1.25,0,0,0
WBS,3,3,1766,1234,532,1,0,0,0,0,6,0,15,0,0,0,0,21,6,0,15,0,0,0,64,13,5,17915904,87395.49268,0,0,0
WBS,3,4,2253,1333,920,1,12,328,19,0,6,0,15,0,0,0,0,21,6,0,15,0,0,0,64,13,5,17915904,87395.49268,0,0,0
WBS,3,5,2272,1355,917,1,12,311,14,0,6,0,15,0,0,0,0,21,6,0,15,0,0,0,64,13,5,17915904,87395.49268,0,0,0
WBS,15,1,4427660,0,4427660,7962624,15925246,3121444,543831,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
WBS,18,1,43200000,0,43200000,68548988,137097987,29716775,5244976,15013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
WBS,30,5,59762,2230,57532,1,280,54072,78,0,16,0,24,0,0,0,0,30,140,0,25,0,0,0,205,88,5,17915904,87402.02439,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
