Final Results Table - 1,,,,,,,,,,
"Bench
mark
Name","# sym
inputs",mode,"run
time
(msec)","static
analysis
time
(msec)","#
exec.
paths","#
solver
queries","solver
time
(msec)","#
inst.
reg.","#
inst.
methods","#
inst."
WBS,3,1,263,0,24,46,21,0,0,0
WBS,3,2,569,1009,1,0,0,6,0,6
WBS,3,3,532,1234,1,0,0,6,0,6
WBS,3,4,920,1333,1,12,328,6,0,6
WBS,3,5,917,1355,1,12,311,6,0,6
WBS,15,1,4427660,0,7962624,15925246,3121444,0,0,0
WBS,30,5,57532,2230,1,280,54072,16,0,140
TCAS,12,1,2656,0,198,2338,1509,0,0,0
TCAS,12,2,3648,2988,98,1098,862,13,0,361
TCAS,12,3,1326,4509,1,0,0,4,28,4
TCAS,12,4,1674,4470,1,8,75,4,28,4
TCAS,12,5,1357,3364,1,8,114,4,28,4
TCAS,24,1,353066,0,39204,465262,296228,0,0,0
TCAS,120,5,3853,1840,1,80,2212,4,280,40
replace,11,1,1241296,0,757261,4317642,818462,0,0,0
replace,11,2,1080048,3390,477315,3125750,667165,27,0,51069
replace,11,3,1622018,3980,681673,4623560,1030076,25,17210,53938
replace,11,4,7027542,4062,82320,3757873,5338884,34,6339,139813
replace,11,5,8529211,4377,82320,3904498,6340147,40,6339,286767
NanoXML,7,1,4408426,0,3606607,8318716,2195506,0,0,0
NanoXML,7,2,5027498,680,3606476,8318577,2351930,2,0,5262
NanoXML,7,3,5021002,871,3606476,8318577,2336583,2,0,5262
NanoXML,7,4,17852489,1111,3599980,9292835,11787938,7,77156,492289
NanoXML,7,5,2663570,1406,553917,1680328,1619964,8,3241,203507
NanoXML,8,1,43200000,0,31835683,72954300,22040428,0,0,0
NanoXML,8,5,26365485,680,3642830,11024807,18055761,8,27273,1393422
Siena,6,1,4883384,0,2985984,7600684,2087250,0,0,0
Siena,6,5,5033783,1551,2985984,7600684,2092015,0,0,0
Schedule2,3,1,773,0,343,684,172,0,0,0
Schedule2,3,5,1557,722,343,684,172,0,0,0
